Address,Latitude,Longitude,Min. from 16xJ (walking),Latitude,Longitude,Location,Bedrooms,Bathrooms,Category,Amenities,Rent,SF,$/Sqft,Year built,Parking,# of Units,Name,Unit Type
"1401 P St, Sacramento, CA 95814",38.5724303,-121.4902919,13,38.572223,-121.490576,14th & P,1,1,"1 bed, 1 bath","wifi, A/C, heating, Washer/Dryer, Kitchen, Fitness Center",1600,692,2.312138728,1997,"$85 Covered Parking, $125 Garage Parking, Surface Parking",44,Governers Terrace,"1 bed, 1 bath"
"2218 H St, Sacramento, CA 95816",38.5777509,-121.4756331,13,38.5779973,-121.4759797,23rd & H,1,1,fourplex,"Laundry Facilities, Kitchen, Refrgerator, A/C, heating",1350,800,1.6875,1900,Street,4,,"1 bed, 1 bath"
"1926 N St, Sacramento, CA 95811",38.5721495,-121.4822376,13,38.5722608,-121.4821762,20th & N,1,1,"1 bed, 1 bath","Furnished, Laundry Facilities",1500,850,1.764705882,1910,$100 Surface Lot,2,,"1 bed, 1 bath"
"2310 I St, Sacramento, CA 95816",38.5763568,-121.4750638,13,38.5765646,-121.4752045,23rd & I,1,1,,"A/C, Kitchen, Refrigerator, ",1425,706,2.018413598,1928,,4,,"1 bed, 1 bath"
"1900 P St, Sacramento, CA 95811",38.5702491,-121.4839565,15,38.570293,-121.483988,19th & P,1,1.5,left,"Washer/dryer, kitchen, appliances, dishwasher, granite countertops",2895,1076,2.690520446,2017,Gated Parking,7,,"1 bed, 1 bath"
"1710 R St, Sacramento, CA 95811",38.5683756,-121.4871238,16,38.5687771,-121.487483,17th & R,2,1,"2 bed, 1 bath","Wifi, A/C, washer/dryer, oven, stove, balcony, fitness center, bike storage , furnished",2550,864,2.951388889,2017,"$190, lot, street, limited",142,Ice House Midtown,"2 bed, 1 bath"
"918 26th St, Sacramento, CA 95816",38.5750751,-121.4720629,16,38.57501,-121.471795,26th & J,1,1,studio,"A/C, heating, kitchen",1200,600,2,1925,Street,18,Hillcourt,studio
"2227-2237 N St, Sacramento, CA 95816",38.5715899,-121.4778463,17,38.5714782,-121.47859,23rd & N,1,1,"1 bed, 1 bath","Wifi, A/C, furnished, Laundry Facilities",1925,780,2.467948718,1930,$75 garage,24,Fountain Gardens,"1 bed, 1 bath"
"1907 Q St, Sacramento, CA 95811",38.5693209,-121.484523,17,38.5693314,-121.4843341,19th & Q,1,1,studio,"Wifi, A/C, washer/dryer, furnished, fitness center, bike storage, media center",1640,495,3.313131313,2018,"Covered, Street, $250 surface lot",68,Q19 Apartments,studio
"2501 H St, Sacramento, CA 95816",38.5773524,-121.4718174,17,38.577131,-121.472084,25th & H,1,1,studio,"Wifi, A/C, furnished, balcony, Washer/Dryer, ",1375,500,2.75,1960,Street,27,The Elan,studio
"2414 Capitol Ave, Sacramento, CA 95816",38.5715336,-121.4753533,19,38.5717833,-121.4757289,25th & Capital,1,1,Capital Ave Apt #12,"A/C, heating, laundry facilities",1295,559,2.316636852,1955,limited parking,16,Capital Ave. Apt.,"1 bed, 1 bath"
"2125 P St Sacramento, CA 95816",38.5696405,-121.4803378,19,38.5696707,-121.480999,22nd & P,2,1,4-plex,"balcony, appliances, granite countertops, fireplace",1325,1100,1.204545455,1972,None,4,,"2 bed, 1 bath"
"1525 22nd St, Sacramento, CA 95816",38.5696031,-121.4796859,19,38.5696005,-121.4797395,22nd & P,1,1,studio,"A/C, heating, kitchen, Laundry Facilities",995,500,1.99,1971,Covered Parking,27,,studio
"1714 21st St, Sacramento, CA 95811",38.5684464,-121.4820329,20,38.5682537,-121.4821715,21st & Q,2,2,loft,"Wifi, A/C, washer/dryer, All Appliances, fitness center, pool",2910,950,3.063157895,2019,Garage,277,The Press at Midtown Apartments,"2 bed, 2 bath"
"2623 H St Unit D, Sacramento, CA 95816",38.5767012,-121.4699654,20,38.5765853,-121.4700368,27th & H,1,1,Apt D,"A/C, heating, Dishwasher, Washer/Dryer",1850,700,2.642857143,2008,,1,Unit behind a 1915 Craftsman Victorian Style house,"1 bed, 1 bath"
"822 28th St, Sacramento, CA 95816",38.5753778,-121.468857,20,38.575359,-121.468662,28th & I,1,1,"1 bed, 1 bath","A/C, Washer/Dryer, Kitchen, Dishwasher, Patio",1800,700,2.571428571,1910,Street,3,,"1 bed, 1 bath"
"2430 O St, Sacramento, CA 95816",38.5689718,-121.4761127,22,38.5695212,-121.476516,25th & O,2,1,"2 bed, 1 bath","A/C, heating, kitchen, Laundry Facilities",1450,715,2.027972028,1925,Street,17,,"2 bed, 1 bath"
"1520 25th St Sacramento, CA 95816",38.5687244,-121.4762132,23,38.5686691,-121.4760242,25th & P,1,1,Unit 7,"kitchen, fridge, laundry facilities",1375,650,2.115384615,1945,Street,10,Riverwind Properties,"1 bed, 1 bath"
"1324 W Sutter Walk, Sacramento, CA 95816",38.5703394,-121.4733356,23,38.5702133,-121.4730203,26th & N,2,2,Townhouse,"A/C, applicances, dishwasher, Washer/Dryer, Refrigerator, Oven",3500,1161,3.01464255,2008,,1,,"2 bed, 2 bath"
"2821 G St, Sacramento, CA 95816",38.5771178,-121.4668651,23,38.5771023,-121.4673911,29th & G,1,1,Apt 5,"A/C, Oven, fridge, ",1295,540,2.398148148,1971,,9,,"1 bed, 1 bath"
"1514 26th St Apt C, Sacramento, CA",38.5686236,-121.4747662,24,38.568614,-121.474572,26th & O,1,1,Apt C,"A/C, refrigerator, oven, laundry facilities",1325,500,2.65,1900,surface lot,4,,"1 bed, 1 bath"
"1626 27th St, Sacramento, CA 95816",38.5667949,-121.4740411,26,38.56693,-121.473817,27th & Q,1,1,studio,"wifi, A/C, kitchen, appliances, granite countertops, Laundry Facilities, Dishwasher",1275,450,2.833333333,1950,"$75 Surface Lot, Limited",12,1626,studio
"2710 O St, Sacramento, CA 95816",38.568222,-121.4726207,26,38.5685126,-121.4727355,27th & O,2,1,,"Wifi, A/C, Laundry Facilities",1500,1000,1.5,1952,Garage,3,Theo Building,"2 bed, 1 bath"
"1504 28th St, Sacramento, CA",38.5681049,-121.4719441,27,38.568122,-121.471803,28th & O,1,1,4-plex,"A/C, heating, refrigerator, gas stove, shared private patio, laundry facilities",1300,650,2,1935,Street,4,La Comtessa,"1 bed, 1 bath"
"1808 27th St Sacramento, CA 95816",38.5651289,-121.4750035,30,38.5650914,-121.4746139,27th & R,2,1,Condo,"washer/dryer, rooftop terrace, A/C, views",2250,858,2.622377622,2019,Street,4,,"2 bed, 1 bath"
"2813 Q St, Sacramento, CA 95816",38.5661197,-121.4719586,30,38.5661132,-121.472256,28th & Q,1,1,studio,"A/C, heating, Washer/Dryer, Kitchen, Appliances, Quartz Countertops",1695,471,3.598726115,2019,$ Carport,9,Winn Park Lofts,studio
